Lat,Long,Elevation
78.0083,17.0032,651
78.025,17.0032,645
78.0417,17.0032,637
78.0583,17.0032,633
78.075,17.0032,625
78.0917,17.0032,609
78.1083,17.0032,591
78.125,17.0032,599
78.1417,17.0032,599
78.1583,17.0032,591
78.175,17.0032,591
78.1917,17.0032,597
78.2083,17.0032,603
78.225,17.0032,615
78.2417,17.0032,619
78.2583,17.0032,621
78.275,17.0032,619
78.2917,17.0032,621
78.3083,17.0032,617
78.325,17.0032,615
78.3417,17.0032,607
78.3583,17.0032,607
78.375,17.0032,615
78.3917,17.0032,623
78.4083,17.0032,643
78.425,17.0032,639
78.4417,17.0032,647
78.4583,17.0032,671
78.475,17.0032,671
78.4917,17.0032,657
78.5083,17.0032,651
78.525,17.0032,653
78.5417,17.0032,671
78.5583,17.0032,659
78.575,17.0032,647
78.5917,17.0032,625
78.6083,17.0032,615
78.625,17.0032,599
78.6417,17.0032,583
78.6583,17.0032,575
78.675,17.0032,559
78.6917,17.0032,553
78.7083,17.0032,533
78.725,17.0032,521
78.7417,17.0032,525
78.7583,17.0032,503
78.775,17.0032,479
78.7917,17.0032,459
78.8083,17.0032,443
78.825,17.0032,417
78.8417,17.0032,391
78.8583,17.0032,367
78.875,17.0032,347
78.8917,17.0032,339
78.9083,17.0032,329
78.925,17.0032,317
78.9417,17.0032,309
78.9583,17.0032,301
78.975,17.0032,291
78.9917,17.0032,283
79.0083,17.0032,275
79.025,17.0032,269
79.0417,17.0032,263
79.0583,17.0032,255
79.075,17.0032,245
79.0917,17.0032,241
79.1083,17.0032,239
79.125,17.0032,235
79.1417,17.0032,229
79.1583,17.0032,223
79.175,17.0032,213
79.1917,17.0032,211
79.2083,17.0032,211
79.225,17.0032,217
79.2417,17.0032,221
79.2583,17.0032,217
79.275,17.0032,211
79.2917,17.0032,207
79.3083,17.0032,207
79.325,17.0032,205
79.3417,17.0032,203
79.3583,17.0032,197
79.375,17.0032,187
79.3917,17.0032,181
79.4083,17.0032,181
79.425,17.0032,179
79.4417,17.0032,185
79.4583,17.0032,181
79.475,17.0032,177
79.4917,17.0032,181
79.5083,17.0032,175
79.525,17.0032,171
79.5417,17.0032,163
79.5583,17.0032,153
79.575,17.0032,143
79.5917,17.0032,139
79.6083,17.0032,135
79.625,17.0032,137
79.6417,17.0032,143
79.6583,17.0032,151
79.675,17.0032,159
79.6917,17.0032,167
79.7083,17.0032,173
79.725,17.0032,181
79.7417,17.0032,175
79.7583,17.0032,167
79.775,17.0032,157
79.7917,17.0032,149
79.8083,17.0032,139
79.825,17.0032,133
79.8417,17.0032,133
79.8583,17.0032,125
79.875,17.0032,131
79.8917,17.0032,141
79.9083,17.0032,139
79.925,17.0032,131
79.9417,17.0032,123
79.9583,17.0032,113
79.975,17.0032,105
79.9917,17.0032,101
80.0083,17.0032,97
78.0083,16.9873,643
78.025,16.9873,631
78.0417,16.9873,621
78.0583,16.9873,613
78.075,16.9873,611
78.0917,16.9873,611
78.1083,16.9873,589
78.125,16.9873,585
78.1417,16.9873,583
78.1583,16.9873,581
78.175,16.9873,583
78.1917,16.9873,599
78.2083,16.9873,595
78.225,16.9873,601
78.2417,16.9873,611
78.2583,16.9873,605
78.275,16.9873,605
78.2917,16.9873,605
78.3083,16.9873,605
78.325,16.9873,605
78.3417,16.9873,603
78.3583,16.9873,595
78.375,16.9873,603
78.3917,16.9873,613
78.4083,16.9873,619
78.425,16.9873,617
78.4417,16.9873,635
78.4583,16.9873,653
78.475,16.9873,671
78.4917,16.9873,659
78.5083,16.9873,665
78.525,16.9873,667
78.5417,16.9873,667
78.5583,16.9873,673
78.575,16.9873,671
78.5917,16.9873,641
78.6083,16.9873,617
78.625,16.9873,603
78.6417,16.9873,597
78.6583,16.9873,589
78.675,16.9873,567
78.6917,16.9873,565
78.7083,16.9873,543
78.725,16.9873,531
78.7417,16.9873,509
78.7583,16.9873,493
78.775,16.9873,481
78.7917,16.9873,467
78.8083,16.9873,455
78.825,16.9873,495
78.8417,16.9873,499
78.8583,16.9873,383
78.875,16.9873,371
78.8917,16.9873,345
78.9083,16.9873,331
78.925,16.9873,323
78.9417,16.9873,309
78.9583,16.9873,299
78.975,16.9873,291
78.9917,16.9873,283
79.0083,16.9873,273
79.025,16.9873,267
79.0417,16.9873,261
79.0583,16.9873,253
79.075,16.9873,249
79.0917,16.9873,239
79.1083,16.9873,231
79.125,16.9873,225
79.1417,16.9873,223
79.1583,16.9873,223
79.175,16.9873,219
79.1917,16.9873,207
79.2083,16.9873,205
79.225,16.9873,211
79.2417,16.9873,211
79.2583,16.9873,217
79.275,16.9873,211
79.2917,16.9873,199
79.3083,16.9873,195
79.325,16.9873,197
79.3417,16.9873,201
79.3583,16.9873,193
79.375,16.9873,187
79.3917,16.9873,177
79.4083,16.9873,179
79.425,16.9873,175
79.4417,16.9873,179
79.4583,16.9873,173
79.475,16.9873,171
79.4917,16.9873,177
79.5083,16.9873,169
79.525,16.9873,171
79.5417,16.9873,165
79.5583,16.9873,151
79.575,16.9873,141
79.5917,16.9873,137
79.6083,16.9873,131
79.625,16.9873,135
79.6417,16.9873,141
79.6583,16.9873,151
79.675,16.9873,161
79.6917,16.9873,161
79.7083,16.9873,163
79.725,16.9873,163
79.7417,16.9873,167
79.7583,16.9873,159
79.775,16.9873,151
79.7917,16.9873,145
79.8083,16.9873,139
79.825,16.9873,131
79.8417,16.9873,127
79.8583,16.9873,123
79.875,16.9873,129
79.8917,16.9873,133
79.9083,16.9873,131
79.925,16.9873,135
79.9417,16.9873,125
79.9583,16.9873,119
79.975,16.9873,109
79.9917,16.9873,109
80.0083,16.9873,101
78.0083,16.9713,645
78.025,16.9713,643
78.0417,16.9713,631
78.0583,16.9713,621
78.075,16.9713,605
78.0917,16.9713,599
78.1083,16.9713,589
78.125,16.9713,585
78.1417,16.9713,577
78.1583,16.9713,573
78.175,16.9713,583
78.1917,16.9713,585
78.2083,16.9713,585
78.225,16.9713,597
78.2417,16.9713,605
78.2583,16.9713,593
78.275,16.9713,599
78.2917,16.9713,589
78.3083,16.9713,589
78.325,16.9713,595
78.3417,16.9713,597
78.3583,16.9713,587
78.375,16.9713,593
78.3917,16.9713,607
78.4083,16.9713,603
78.425,16.9713,619
78.4417,16.9713,635
78.4583,16.9713,653
78.475,16.9713,663
78.4917,16.9713,667
78.5083,16.9713,661
78.525,16.9713,671
78.5417,16.9713,677
78.5583,16.9713,681
78.575,16.9713,675
78.5917,16.9713,651
78.6083,16.9713,643
78.625,16.9713,621
78.6417,16.9713,613
78.6583,16.9713,603
78.675,16.9713,579
78.6917,16.9713,579
78.7083,16.9713,541
78.725,16.9713,523
78.7417,16.9713,517
78.7583,16.9713,509
78.775,16.9713,489
78.7917,16.9713,471
78.8083,16.9713,445
78.825,16.9713,439
78.8417,16.9713,445
78.8583,16.9713,383
78.875,16.9713,363
78.8917,16.9713,347
78.9083,16.9713,329
78.925,16.9713,321
78.9417,16.9713,313
78.9583,16.9713,303
78.975,16.9713,291
78.9917,16.9713,283
79.0083,16.9713,277
79.025,16.9713,273
79.0417,16.9713,267
79.0583,16.9713,261
79.075,16.9713,253
79.0917,16.9713,243
79.1083,16.9713,233
79.125,16.9713,225
79.1417,16.9713,219
79.1583,16.9713,215
79.175,16.9713,213
79.1917,16.9713,203
79.2083,16.9713,203
79.225,16.9713,203
79.2417,16.9713,209
79.2583,16.9713,221
79.275,16.9713,215
79.2917,16.9713,205
79.3083,16.9713,193
79.325,16.9713,191
79.3417,16.9713,199
79.3583,16.9713,199
79.375,16.9713,191
79.3917,16.9713,181
79.4083,16.9713,173
79.425,16.9713,171
79.4417,16.9713,173
79.4583,16.9713,171
79.475,16.9713,165
79.4917,16.9713,169
79.5083,16.9713,167
79.525,16.9713,163
79.5417,16.9713,161
79.5583,16.9713,151
79.575,16.9713,141
79.5917,16.9713,133
79.6083,16.9713,131
79.625,16.9713,131
79.6417,16.9713,143
79.6583,16.9713,151
79.675,16.9713,157
79.6917,16.9713,153
79.7083,16.9713,157
79.725,16.9713,155
79.7417,16.9713,163
79.7583,16.9713,159
79.775,16.9713,145
79.7917,16.9713,145
79.8083,16.9713,131
79.825,16.9713,127
79.8417,16.9713,123
79.8583,16.9713,121
79.875,16.9713,133
79.8917,16.9713,129
79.9083,16.9713,121
79.925,16.9713,125
79.9417,16.9713,125
79.9583,16.9713,119
79.975,16.9713,115
79.9917,16.9713,111
80.0083,16.9713,101
78.0083,16.9554,639
78.025,16.9554,625
78.0417,16.9554,623
78.0583,16.9554,625
78.075,16.9554,621
78.0917,16.9554,619
78.1083,16.9554,611
78.125,16.9554,607
78.1417,16.9554,591
78.1583,16.9554,571
78.175,16.9554,571
78.1917,16.9554,573
78.2083,16.9554,587
78.225,16.9554,587
78.2417,16.9554,595
78.2583,16.9554,583
78.275,16.9554,589
78.2917,16.9554,577
78.3083,16.9554,583
78.325,16.9554,591
78.3417,16.9554,583
78.3583,16.9554,579
78.375,16.9554,591
78.3917,16.9554,593
78.4083,16.9554,595
78.425,16.9554,609
78.4417,16.9554,625
78.4583,16.9554,639
78.475,16.9554,651
78.4917,16.9554,663
78.5083,16.9554,645
78.525,16.9554,641
78.5417,16.9554,663
78.5583,16.9554,665
78.575,16.9554,647
78.5917,16.9554,637
78.6083,16.9554,655
78.625,16.9554,623
78.6417,16.9554,603
78.6583,16.9554,585
78.675,16.9554,583
78.6917,16.9554,565
78.7083,16.9554,547
78.725,16.9554,501
78.7417,16.9554,505
78.7583,16.9554,519
78.775,16.9554,505
78.7917,16.9554,477
78.8083,16.9554,447
78.825,16.9554,423
78.8417,16.9554,407
78.8583,16.9554,383
78.875,16.9554,361
78.8917,16.9554,343
78.9083,16.9554,325
78.925,16.9554,315
78.9417,16.9554,307
78.9583,16.9554,311
78.975,16.9554,297
78.9917,16.9554,289
79.0083,16.9554,283
79.025,16.9554,277
79.0417,16.9554,267
79.0583,16.9554,257
79.075,16.9554,251
79.0917,16.9554,243
79.1083,16.9554,235
79.125,16.9554,225
79.1417,16.9554,219
79.1583,16.9554,213
79.175,16.9554,209
79.1917,16.9554,201
79.2083,16.9554,197
79.225,16.9554,195
79.2417,16.9554,199
79.2583,16.9554,207
79.275,16.9554,201
79.2917,16.9554,193
79.3083,16.9554,187
79.325,16.9554,187
79.3417,16.9554,195
79.3583,16.9554,193
79.375,16.9554,187
79.3917,16.9554,183
79.4083,16.9554,177
79.425,16.9554,167
79.4417,16.9554,169
79.4583,16.9554,169
79.475,16.9554,161
79.4917,16.9554,159
79.5083,16.9554,159
79.525,16.9554,155
79.5417,16.9554,155
79.5583,16.9554,153
79.575,16.9554,141
79.5917,16.9554,131
79.6083,16.9554,125
79.625,16.9554,131
79.6417,16.9554,141
79.6583,16.9554,145
79.675,16.9554,143
79.6917,16.9554,149
79.7083,16.9554,149
79.725,16.9554,141
79.7417,16.9554,151
79.7583,16.9554,155
79.775,16.9554,141
79.7917,16.9554,135
79.8083,16.9554,129
79.825,16.9554,119
79.8417,16.9554,115
79.8583,16.9554,123
79.875,16.9554,135
79.8917,16.9554,135
79.9083,16.9554,117
79.925,16.9554,113
79.9417,16.9554,113
79.9583,16.9554,113
79.975,16.9554,105
79.9917,16.9554,103
80.0083,16.9554,105
78.0083,16.9394,639
78.025,16.9394,623
78.0417,16.9394,601
78.0583,16.9394,611
78.075,16.9394,611
78.0917,16.9394,627
78.1083,16.9394,627
78.125,16.9394,613
78.1417,16.9394,593
78.1583,16.9394,587
78.175,16.9394,567
78.1917,16.9394,565
78.2083,16.9394,571
78.225,16.9394,585
78.2417,16.9394,585
78.2583,16.9394,573
78.275,16.9394,573
78.2917,16.9394,569
78.3083,16.9394,587
78.325,16.9394,585
78.3417,16.9394,571
78.3583,16.9394,573
78.375,16.9394,577
78.3917,16.9394,581
78.4083,16.9394,593
78.425,16.9394,607
78.4417,16.9394,611
78.4583,16.9394,615
78.475,16.9394,629
78.4917,16.9394,659
78.5083,16.9394,641
78.525,16.9394,613
78.5417,16.9394,601
78.5583,16.9394,591
78.575,16.9394,597
78.5917,16.9394,613
78.6083,16.9394,629
78.625,16.9394,659
78.6417,16.9394,581
78.6583,16.9394,559
78.675,16.9394,571
78.6917,16.9394,545
78.7083,16.9394,509
78.725,16.9394,477
78.7417,16.9394,489
78.7583,16.9394,481
78.775,16.9394,481
78.7917,16.9394,457
78.8083,16.9394,465
78.825,16.9394,415
78.8417,16.9394,393
78.8583,16.9394,369
78.875,16.9394,355
78.8917,16.9394,339
78.9083,16.9394,323
78.925,16.9394,311
78.9417,16.9394,305
78.9583,16.9394,295
78.975,16.9394,291
78.9917,16.9394,295
79.0083,16.9394,289
79.025,16.9394,275
79.0417,16.9394,265
79.0583,16.9394,261
79.075,16.9394,253
79.0917,16.9394,251
79.1083,16.9394,241
79.125,16.9394,233
79.1417,16.9394,229
79.1583,16.9394,223
79.175,16.9394,217
79.1917,16.9394,207
79.2083,16.9394,199
79.225,16.9394,191
79.2417,16.9394,189
79.2583,16.9394,197
79.275,16.9394,193
79.2917,16.9394,185
79.3083,16.9394,179
79.325,16.9394,183
79.3417,16.9394,191
79.3583,16.9394,193
79.375,16.9394,183
79.3917,16.9394,177
79.4083,16.9394,173
79.425,16.9394,165
79.4417,16.9394,161
79.4583,16.9394,169
79.475,16.9394,163
79.4917,16.9394,155
79.5083,16.9394,151
79.525,16.9394,151
79.5417,16.9394,147
79.5583,16.9394,153
79.575,16.9394,143
79.5917,16.9394,131
79.6083,16.9394,123
79.625,16.9394,127
79.6417,16.9394,133
79.6583,16.9394,133
79.675,16.9394,141
79.6917,16.9394,143
79.7083,16.9394,143
79.725,16.9394,135
79.7417,16.9394,135
79.7583,16.9394,139
79.775,16.9394,135
79.7917,16.9394,125
79.8083,16.9394,119
79.825,16.9394,115
79.8417,16.9394,113
79.8583,16.9394,121
79.875,16.9394,129
79.8917,16.9394,137
79.9083,16.9394,115
79.925,16.9394,105
79.9417,16.9394,103
79.9583,16.9394,105
79.975,16.9394,97
79.9917,16.9394,93
80.0083,16.9394,99
78.0083,16.9235,623
78.025,16.9235,613
78.0417,16.9235,605
78.0583,16.9235,589
78.075,16.9235,595
78.0917,16.9235,607
78.1083,16.9235,605
78.125,16.9235,609
78.1417,16.9235,609
78.1583,16.9235,597
78.175,16.9235,575
78.1917,16.9235,563
78.2083,16.9235,557
78.225,16.9235,579
78.2417,16.9235,583
78.2583,16.9235,567
78.275,16.9235,557
78.2917,16.9235,571
78.3083,16.9235,583
78.325,16.9235,573
78.3417,16.9235,561
78.3583,16.9235,563
78.375,16.9235,575
78.3917,16.9235,583
78.4083,16.9235,593
78.425,16.9235,601
78.4417,16.9235,589
78.4583,16.9235,601
78.475,16.9235,623
78.4917,16.9235,643
78.5083,16.9235,611
78.525,16.9235,593
78.5417,16.9235,589
78.5583,16.9235,567
78.575,16.9235,547
78.5917,16.9235,533
78.6083,16.9235,513
78.625,16.9235,545
78.6417,16.9235,541
78.6583,16.9235,535
78.675,16.9235,509
78.6917,16.9235,515
78.7083,16.9235,491
78.725,16.9235,465
78.7417,16.9235,455
78.7583,16.9235,455
78.775,16.9235,443
78.7917,16.9235,439
78.8083,16.9235,421
78.825,16.9235,417
78.8417,16.9235,397
78.8583,16.9235,383
78.875,16.9235,355
78.8917,16.9235,343
78.9083,16.9235,341
78.925,16.9235,313
78.9417,16.9235,301
78.9583,16.9235,291
78.975,16.9235,285
78.9917,16.9235,279
79.0083,16.9235,279
79.025,16.9235,275
79.0417,16.9235,273
79.0583,16.9235,269
79.075,16.9235,255
79.0917,16.9235,243
79.1083,16.9235,235
79.125,16.9235,231
79.1417,16.9235,223
79.1583,16.9235,225
79.175,16.9235,217
79.1917,16.9235,209
79.2083,16.9235,199
79.225,16.9235,193
79.2417,16.9235,183
79.2583,16.9235,189
79.275,16.9235,189
79.2917,16.9235,181
79.3083,16.9235,173
79.325,16.9235,179
79.3417,16.9235,181
79.3583,16.9235,181
79.375,16.9235,181
79.3917,16.9235,175
79.4083,16.9235,167
79.425,16.9235,163
79.4417,16.9235,157
79.4583,16.9235,163
79.475,16.9235,165
79.4917,16.9235,157
79.5083,16.9235,149
79.525,16.9235,143
79.5417,16.9235,141
79.5583,16.9235,145
79.575,16.9235,139
79.5917,16.9235,131
79.6083,16.9235,121
79.625,16.9235,119
79.6417,16.9235,129
79.6583,16.9235,123
79.675,16.9235,133
79.6917,16.9235,135
79.7083,16.9235,135
79.725,16.9235,133
79.7417,16.9235,127
79.7583,16.9235,131
79.775,16.9235,131
79.7917,16.9235,123
79.8083,16.9235,113
79.825,16.9235,111
79.8417,16.9235,109
79.8583,16.9235,117
79.875,16.9235,123
79.8917,16.9235,137
79.9083,16.9235,121
79.925,16.9235,109
79.9417,16.9235,99
79.9583,16.9235,95
