Latitude,Longitude,Elevation,Reading,Diurnal correction,MAG_DIUR,
16.329,77.7,264.54,42720,-3,42723,
16.403,77.702,259.16,42623,0.25,42622.75,
16.258,77.717,268.81,42613,0.67,42612.33,
16.256,77.718,268.97,42595,0.22,42594.78,
16.392,77.714,273.64,42595,1.2,42596.2,
16.255,77.716,266.43,42585,1.33,42583.67,
16.258,77.718,268.95,42584,1.9,42582.1,
16.255,77.715,267.73,42584,2,42582,
16.415,77.702,254.8,42582,0.5,42581.5,
16.259,77.719,269.15,42578,1.7,42576.3,
16.255,77.714,273.54,42573,0.3,42572.7,
16.37,77.701,259.64,42560,0,42560,
16.259,77.719,274.91,42549,1.4,42547.6,
16.349,77.701,257.22,42536,0,42536,
16.249,77.714,272.31,42535,0.8,42534.2,
16.377,77.701,261,42531,0,42531,
16.278,77.73,269.13,42520,7.65,42512.35,
16.359,77.701,261.63,42520,0,42520,
16.414,77.719,247.8,42507,-2.46,42509.46,
16.335,77.704,242.09,42498,1.6,42499.6,
16.385,77.695,252.15,42493,,,
16.385,77.695,252.15,42493,,,0.6
16.385,77.695,252.15,42492,,,
16.385,77.695,252.15,42492,,,
16.385,77.695,252.15,42491,,,
16.385,77.695,252.15,42491,,,
16.34,77.696,261.1,42490,0.5,42489.5,
16.385,77.695,252.15,42490,,,
16.385,77.695,252.15,42490,,,
16.352,77.691,257.11,42489,1.2,42487.8,
16.261,77.722,275.61,42488,0.7,42487.3,
16.385,77.695,252.15,42488,,,
16.385,77.695,252.15,42488,,,
16.385,77.695,252.15,42487,,,
16.385,77.695,252.15,42486,,,
16.391,77.713,249.98,42482,1.14,42480.86,
16.413,77.718,245.4,42482,2.8,42479.2,
16.385,77.695,252.15,42481,,,
16.345,77.704,240.13,42481,0.1,42480.9,
16.385,77.695,252.15,42479,,,
16.385,77.695,252.15,42477,,,
16.408,77.716,251.72,42476,2,42474,
16.385,77.695,252.15,42476,,,
16.341,77.717,256.31,42475,-0.4,42475.4,
16.349,77.723,247.02,42475,1,42474,
16.38,77.712,259.8,42475,2.4,42472.6,
16.385,77.695,252.15,42475,,,
16.314,77.703,238.109,42475,0.6,42475.6,
16.4,77.714,249.52,42474,0.8,42473.2,
16.278,77.728,279.36,42473,0.18,42472.82,
16.413,77.717,247.64,42473,1.2,42471.8,
16.385,77.695,252.15,42473,,,
16.279,77.729,275.02,42472,8.78,42463.23,
16.402,77.715,253.43,42472,1.4,42470.6,
16.351,77.715,258.58,42471,-3.4,42474.4,
16.385,77.695,252.15,42471,,,
16.348,77.688,245.52,42471,0.96,42470.04,
16.44,77.7,245.81,42467,14,42481,
16.269,77.725,276.07,42463,0.91,42462.09,
16.441,77.7,247.14,42463,12.6,42475.6,
16.275,77.727,276.39,42462,0.45,42461.55,
16.377,77.709,260.78,42461,1.4,42459.6,
16.304,77.703,236.07,42461,0.2,42461.2,
16.265,77.724,270,42460,1,42459,
16.369,77.712,,42460,0.6,42459.4,
16.441,77.701,245.06,42460,11.2,42471.2,
16.435,77.697,250.12,42460,3,42457,
16.445,77.701,247.42,42459,7,42466,
16.263,77.725,261.99,42459,0.7,42458.3,
16.44,77.695,250.55,42458,2.4,42455.6,
16.268,77.725,271.94,42457,0.2,42456.8,
16.381,77.707,261.13,42457,0.4,42456.6,
16.344,77.716,257.62,42456,-0.1,42456.1,
16.384,77.706,260.79,42456,-0.9,42456.9,
16.446,77.702,247,42456,7,42463,
16.347,77.714,255.15,42455,-2.6,42457.6,
16.346,77.721,243.28,42455,0.6,42454.4,
16.387,77.705,266.42,42454,-0.6,42454.6,
16.378,77.708,259.62,42453,0.8,42452.2,
16.375,77.711,258.88,42453,2,42451,
16.382,77.695,246.63,42453,0.4,42452.6,
16.395,77.702,258.22,42453,0.1,42452.9,
16.257,77.725,261.9,42453,,,
16.343,77.721,241.87,42452,-1.02,42453.02,
16.423,77.705,256.38,42452,0,42452,
16.438,77.699,247.11,42452,0.2,42452.2,
16.439,77.695,251.33,42452,6,42446,
16.262,77.726,263.39,42452,0.6,42451.4,
16.345,77.718,254.25,42451,-0.8,42451.8,
16.356,77.716,258.91,42451,,,
16.323,77.703,237.21,42451,1.2,42452.2,
16.342,77.713,254.36,42450,-2,42452,
16.356,77.716,258.91,42450,,,
16.257,77.725,261.9,42450,,,
16.264,77.725,267.07,42450,0.8,42449.2,
