Rank,Name on GPS,Latitude,Longitude,Elevation,mag-dirurnal correction
4,pro 1 s1,16.2380702,77.7319047,268.507,42430.825
5,s2,16.2379809,77.7310111,268.468,42403.475
6,s3,16.237813,77.7297548,269.126,42512.35
7,s4,16.237937,77.7287286,275.015,42463.225
8,s5,16.2378304,77.728055,279.361,42472.81818
9,s6,16.2375095,77.7269726,276.391,42461.54545
10,s7,16.2369485,77.7252987,276.066,42462.09091
11,s8,16.2368409,77.7247162,271.936,42456.8
12,s9,16.2365916,77.7239145,274.794,42334.2
13,s10,16.2365349,77.7236101,270.502,42459
14,s11,16.2360736,77.7222455,275.61,42487.3
15,s12,16.2358813,77.7194713,274.909,42547.6
16,s13,16.2358505,77.718895,269.155,42576.3
17,s14,16.2357864,77.7182593,268.949,42582.1
18,s15,16.2356071,77.7175381,268.97,42594.77778
19,s16,16.2357867,77.7169185,268.811,42612.33333
20,s17,16.2354758,77.7159801,266.435,42583.66667
21,s18,16.2355015,77.7152832,267.728,42582
22,s19,16.2354724,77.7143619,273.54,42572.7
23,s20,16.2349475,77.7137497,272.311,42534.2
26,QS1,16.2588933,77.7111194,255.796,42410.2
27,QS2,16.2591182,77.7120944,249.284,424334.8
28,QS3,16.2592435,77.7130154,254.358,42452
29,QS5,16.2597289,77.7139507,255.15,42457.6
30,QS5,16.260109,77.7151334,258.58,42474.4
31,QS6,16.2593983,77.7158657,257.621,42456.1
32,QS7,16.2591064,77.7171817,256.31,42475.4
33,QS8,16.2594994,77.7176425,254.253,42451.8
34,QS9,16.2590981,77.7183744,248.133,42446.18
35,QS10,16.2589489,77.7194617,249.91,42432.12
36,QS11,16.2588747,77.7202716,244.667,42436.08
37,QS12,16.2593135,77.7207198,241.865,42453.02
38,QS13,16.2595889,77.7213469,243.282,42454.4
39,QS14,16.2599319,77.7225034,247.022,42474
40,QS15,16.2603251,77.7230661,243.683,42381
41,s1,16.2751718,77.7157369,260.557,42402.88
42,s2,16.2745537,77.7148462,262.296,42433.3
43,s3,16.2739694,77.7138553,258.202,42410.7
44,s4,16.2741424,77.7125904,261.63,42408
45,s5,16.2735785,77.7116746,259.494,42410.5
46,s6,16.2728835,77.7108404,258.968,42404
47,s7,16.2723573,77.7100666,262.75,42425.07143
48,s8,16.2718307,77.7092466,265.992,42415.1
49,s9,16.2714627,77.7083363,266.226,42434.6
50,s10,16.2711291,77.7076212,268.883,42424.8
51,s11,16.270939,77.7065209,263.214,42406.2
52,s12,16.2702939,77.7058412,260.83,42423.6
53,s13,16.2699968,77.7049322,261.182,42401
54,s14,16.2699893,77.7038038,263.55,42375.4
55,s15,16.2698434,77.7029528,266.632,42472.8
56,T1,16.2637183,77.7052372,266.424,42454.6
57,t2,16.26339,77.7063125,260.79,42456.9
58,t3,16.2630693,77.7073665,261.128,42456.6
59,t4,16.2628106,77.7083996,259.62,42452.2
60,t5,16.2626995,77.7094448,260.779,42459.6
61,t6,16.2624559,77.7109091,258.877,42451
62,t7,16.2618859,77.7117408,256.824,42459.4
63,t8,16.2630223,77.7123944,259.801,42472.6
64,s9,16.2641165,77.7125004,249.978,42480.86
65,t11,16.2650277,77.7144597,249.52,42464
66,t12,16.2652362,77.7153399,253.43,42473.2
67,t13,16.2657804,77.7164943,251.722,42470.6
68,t14,16.2663347,77.7170863,247.636,42474
69,t15,16.2663091,77.7183876,245.397,42471.8
70,t16,16.2663825,77.7192893,247.805,42479.2
73,V1,16.2902311,77.6913644,259.46,42487.8
74,V2,16.2898409,77.6927081,261.743,42435.3
75,v3,16.2896371,77.6937818,262.406,42423.3
76,v4,16.289408,77.6948921,263.02,42426.8
77,v4,16.2890356,77.695732,261.099,42489.5
78,v6,16.2891186,77.6966334,251.396,42429.1
79,v7,16.2877607,77.697585,263.206,42415.6
80,v8,16.2870142,77.6987947,261.407,42436.4
81,w1,16.286882,77.6989507,265.145,42723
82,w2,16.2878738,77.699524,264.537,42462.1
83,w3,16.2888978,77.7002431,250.69,42556
84,w4,16.2898866,77.7005724,257.218,42536
85,w5,16.2909108,77.7008643,261.631,42520
86,w6,16.2919796,77.7011705,259.641,42560
87,w7,16.2927425,77.7013932,261.844,42531
88,w8,16.2936174,77.7016317,260.603,42441
90,x1,16.2741845,77.6939528,275.08,42369.8
91,x2,16.2740132,77.6950684,272.208,42388
92,x3,16.2739528,77.6960791,268.78,42389
93,x4,16.2741301,77.6966621,265.822,42388
94,x5,16.2747141,77.6968147,267.494,42409
95,x6,16.274952,77.6972902,269.254,42401
96,x7,16.2752187,77.6977524,266.8,42400
97,x8,16.2755085,77.6982459,265.837,42383.8
98,x9,16.2758942,77.6986131,267.434,42372.7
99,x10,16.27632,77.6991464,265.662,42295.5
100,x11,16.276635,77.6995908,262.91,42311.4
101,x12,16.2770051,77.6999479,261.75,42371.3
102,x13,16.277398,77.7002523,261.522,42406.1
103,x14,16.2778933,77.7006755,263.923,42321
104,x15,16.2782155,77.7010737,261.146,42395.9
105,x16,16.2786364,77.7014911,261.159,42403.7
106,x17,16.2788994,77.7019721,259.675,42420.5
107,x18,16.2791569,77.7028212,264.169,42414.4
108,x19,16.2793049,77.7033428,259.825,42429.1
109,x20,16.2795153,77.703672,262.905,42407.4
110,x21,16.2799842,77.7038332,260.211,42441.8
111,x22,16.2802025,77.7042506,264.53,42451
112,x23,16.2807216,77.704669,260.144,42446.5
113,x24,16.2810551,77.7048889,259.032,42413
114,x25,16.2816092,77.7048409,256.197,42426
115,x26,16.2823278,77.7052857,256.377,42452
116,x27,16.2824766,77.7058837,258.658,42344
117,x28,16.28223,77.7067838,262.636,42417
118,x29,16.28233,77.7073581,263.413,42424
119,x30,16.2826006,77.7076963,262.66,42427.8
120,x31,16.2827579,77.7081693,264.338,42433.6
121,x32,16.2828499,77.7086897,264.425,42420.2
122,z1,16.2512376,77.7255728,263.388,42451.4
123,z2,16.2513464,77.7250554,261.986,42458.3
124,z3,16.2513922,77.7245919,267.07,42449.2
125,z4,16.2517358,77.7242416,272.813,42445.1
126,z5,16.2520203,77.7239059,272.391,42447
127,z6,16.2522279,77.7232961,268.33,42441.5
128,z6,16.2521926,77.7228495,265.543,42438.5
