Latitude,Longitude,Gravity_anomaly
77.2083,16.3006,-34.8
77.225,16.3006,-35
77.2417,16.3006,-35.4
77.2583,16.3006,-36.1
77.275,16.3006,-36.9
77.2917,16.3006,-37.9
77.3083,16.3006,-38.8
77.325,16.3006,-39.7
77.3417,16.3006,-40.3
77.3583,16.3006,-40.7
77.375,16.3006,-40.9
77.3917,16.3006,-40.8
77.4083,16.3006,-40.7
77.425,16.3006,-40.6
77.4417,16.3006,-40.7
77.4583,16.3006,-40.8
77.475,16.3006,-41.2
77.4917,16.3006,-41.5
77.5083,16.3006,-41.9
77.525,16.3006,-42.1
77.5417,16.3006,-42.1
77.5583,16.3006,-41.9
77.575,16.3006,-41.4
77.5917,16.3006,-40.9
77.6083,16.3006,-40.4
77.625,16.3006,-39.9
77.6417,16.3006,-39.6
77.6583,16.3006,-39.5
77.675,16.3006,-39.6
77.6917,16.3006,-39.7
77.7083,16.3006,-39.9
77.725,16.3006,-40.2
77.7417,16.3006,-40.4
77.7583,16.3006,-40.6
77.775,16.3006,-40.9
77.7917,16.3006,-41.2
77.8083,16.3006,-41.6
77.825,16.3006,-42.1
77.8417,16.3006,-42.6
77.8583,16.3006,-42.9
77.875,16.3006,-43.1
77.8917,16.3006,-43
77.9083,16.3006,-42.5
77.925,16.3006,-41.6
77.9417,16.3006,-40.5
77.9583,16.3006,-39.1
77.975,16.3006,-37.6
77.9917,16.3006,-36
78.0083,16.3006,-34.5
78.025,16.3006,-33
78.0417,16.3006,-31.7
78.0583,16.3006,-30.4
78.075,16.3006,-29.3
78.0917,16.3006,-28.4
78.1083,16.3006,-27.6
78.125,16.3006,-26.9
78.1417,16.3006,-26.5
78.1583,16.3006,-26.3
78.175,16.3006,-26.2
78.1917,16.3006,-26.2
78.2083,16.3006,-26.3
78.225,16.3006,-26.4
78.2417,16.3006,-26.6
78.2583,16.3006,-26.6
78.275,16.3006,-26.6
78.2917,16.3006,-26.6
78.3083,16.3006,-26.6
78.325,16.3006,-26.6
78.3417,16.3006,-26.5
78.3583,16.3006,-26.3
78.375,16.3006,-26.1
78.3917,16.3006,-25.7
78.4083,16.3006,-25.2
78.425,16.3006,-24.7
78.4417,16.3006,-24.3
78.4583,16.3006,-24.1
78.475,16.3006,-24.3
78.4917,16.3006,-24.8
78.5083,16.3006,-25.6
78.525,16.3006,-26.6
78.5417,16.3006,-27.6
78.5583,16.3006,-28.1
78.575,16.3006,-27.9
78.5917,16.3006,-26.8
78.6083,16.3006,-24.6
78.625,16.3006,-21.3
78.6417,16.3006,-17.2
78.6583,16.3006,-12.6
78.675,16.3006,-7.8
78.6917,16.3006,-3.5
78.7083,16.3006,0.2
78.725,16.3006,2.9
78.7417,16.3006,4.5
78.7583,16.3006,4.9
78.775,16.3006,4.3
78.7917,16.3006,2.9
78.8083,16.3006,0.8
78.825,16.3006,-1.6
78.8417,16.3006,-4.4
78.8583,16.3006,-7.4
78.875,16.3006,-10.5
78.8917,16.3006,-13.6
78.9083,16.3006,-16.9
78.925,16.3006,-20.1
78.9417,16.3006,-23.2
78.9583,16.3006,-26.2
78.975,16.3006,-29
78.9917,16.3006,-31.5
79.0083,16.3006,-33.8
79.025,16.3006,-35.8
79.0417,16.3006,-37.7
79.0583,16.3006,-39.5
79.075,16.3006,-41.5
79.0917,16.3006,-43.5
79.1083,16.3006,-45.7
79.125,16.3006,-48.1
79.1417,16.3006,-50.5
79.1583,16.3006,-52.9
79.175,16.3006,-55.1
79.1917,16.3006,-57.1
79.2083,16.3006,-58.7
79.225,16.3006,-59.9
79.2417,16.3006,-60.6
79.2583,16.3006,-60.9
79.275,16.3006,-60.8
79.2917,16.3006,-60.3
79.3083,16.3006,-59.5
79.325,16.3006,-58.2
79.3417,16.3006,-56.7
79.3583,16.3006,-54.8
79.375,16.3006,-52.8
79.3917,16.3006,-50.8
79.4083,16.3006,-48.8
79.425,16.3006,-47.1
79.4417,16.3006,-45.7
79.4583,16.3006,-44.8
79.475,16.3006,-44.4
79.4917,16.3006,-44.5
79.5083,16.3006,-45
79.525,16.3006,-45.7
79.5417,16.3006,-46.5
79.5583,16.3006,-47.2
79.575,16.3006,-47.7
79.5917,16.3006,-47.9
79.6083,16.3006,-47.9
79.625,16.3006,-47.7
79.6417,16.3006,-47.5
79.6583,16.3006,-47.4
79.675,16.3006,-47.5
79.6917,16.3006,-47.9
79.7083,16.3006,-48.6
79.725,16.3006,-49.5
79.7417,16.3006,-50.6
79.7583,16.3006,-51.8
79.775,16.3006,-52.8
79.7917,16.3006,-53.7
79.8083,16.3006,-54.4
79.825,16.3006,-54.9
79.8417,16.3006,-55.2
79.8583,16.3006,-55.3
79.875,16.3006,-55.3
79.8917,16.3006,-55.1
79.9083,16.3006,-54.7
79.925,16.3006,-54
79.9417,16.3006,-53.1
79.9583,16.3006,-51.7
79.975,16.3006,-50.1
79.9917,16.3006,-48.3
80.0083,16.3006,-46.3
77.2083,16.2846,-34.2
77.225,16.2846,-34.4
77.2417,16.2846,-34.7
77.2583,16.2846,-35.3
77.275,16.2846,-36.1
77.2917,16.2846,-36.9
77.3083,16.2846,-37.7
77.325,16.2846,-38.4
77.3417,16.2846,-38.9
77.3583,16.2846,-39.2
77.375,16.2846,-39.3
77.3917,16.2846,-39.3
77.4083,16.2846,-39.3
77.425,16.2846,-39.3
77.4417,16.2846,-39.5
77.4583,16.2846,-39.9
77.475,16.2846,-40.3
77.4917,16.2846,-40.8
77.5083,16.2846,-41.2
77.525,16.2846,-41.3
77.5417,16.2846,-41.2
77.5583,16.2846,-40.9
77.575,16.2846,-40.3
77.5917,16.2846,-39.7
77.6083,16.2846,-39.2
77.625,16.2846,-38.8
77.6417,16.2846,-38.6
77.6583,16.2846,-38.7
77.675,16.2846,-38.9
77.6917,16.2846,-39.2
77.7083,16.2846,-39.6
77.725,16.2846,-40
77.7417,16.2846,-40.3
77.7583,16.2846,-40.6
77.775,16.2846,-40.9
77.7917,16.2846,-41.4
77.8083,16.2846,-41.9
77.825,16.2846,-42.5
77.8417,16.2846,-43.1
77.8583,16.2846,-43.6
77.875,16.2846,-43.9
77.8917,16.2846,-43.8
77.9083,16.2846,-43.5
77.925,16.2846,-42.7
77.9417,16.2846,-41.7
77.9583,16.2846,-40.4
77.975,16.2846,-39
77.9917,16.2846,-37.6
78.0083,16.2846,-36.1
78.025,16.2846,-34.8
78.0417,16.2846,-33.5
78.0583,16.2846,-32.3
78.075,16.2846,-31.2
78.0917,16.2846,-30.2
78.1083,16.2846,-29.3
78.125,16.2846,-28.7
78.1417,16.2846,-28.2
78.1583,16.2846,-28
78.175,16.2846,-28
78.1917,16.2846,-28.1
78.2083,16.2846,-28.3
78.225,16.2846,-28.6
78.2417,16.2846,-28.8
78.2583,16.2846,-28.9
78.275,16.2846,-28.9
78.2917,16.2846,-28.8
78.3083,16.2846,-28.7
78.325,16.2846,-28.5
78.3417,16.2846,-28.3
78.3583,16.2846,-28
78.375,16.2846,-27.7
78.3917,16.2846,-27.4
78.4083,16.2846,-27
78.425,16.2846,-26.6
78.4417,16.2846,-26.4
78.4583,16.2846,-26.3
78.475,16.2846,-26.4
78.4917,16.2846,-26.9
78.5083,16.2846,-27.5
78.525,16.2846,-28.1
78.5417,16.2846,-28.6
78.5583,16.2846,-28.5
78.575,16.2846,-27.6
78.5917,16.2846,-25.8
78.6083,16.2846,-22.8
78.625,16.2846,-19
78.6417,16.2846,-14.3
78.6583,16.2846,-9.4
78.675,16.2846,-4.4
78.6917,16.2846,0
78.7083,16.2846,3.5
78.725,16.2846,6
78.7417,16.2846,7.2
78.7583,16.2846,7.2
78.775,16.2846,6.2
78.7917,16.2846,4.4
78.8083,16.2846,2
78.825,16.2846,-0.8
78.8417,16.2846,-3.8
78.8583,16.2846,-6.8
78.875,16.2846,-10
78.8917,16.2846,-13.3
78.9083,16.2846,-16.6
78.925,16.2846,-19.9
78.9417,16.2846,-23.2
78.9583,16.2846,-26.5
78.975,16.2846,-29.6
78.9917,16.2846,-32.5
79.0083,16.2846,-35.3
79.025,16.2846,-37.8
79.0417,16.2846,-40.2
79.0583,16.2846,-42.5
79.075,16.2846,-44.7
79.0917,16.2846,-46.9
79.1083,16.2846,-49.1
79.125,16.2846,-51.2
79.1417,16.2846,-53.2
79.1583,16.2846,-55
79.175,16.2846,-56.5
79.1917,16.2846,-57.7
79.2083,16.2846,-58.6
79.225,16.2846,-59.1
79.2417,16.2846,-59.3
79.2583,16.2846,-59.2
79.275,16.2846,-58.7
79.2917,16.2846,-58
79.3083,16.2846,-57
79.325,16.2846,-55.7
79.3417,16.2846,-54.2
79.3583,16.2846,-52.4
79.375,16.2846,-50.6
79.3917,16.2846,-48.8
79.4083,16.2846,-47.1
79.425,16.2846,-45.7
79.4417,16.2846,-44.7
79.4583,16.2846,-44.2
79.475,16.2846,-44.3
79.4917,16.2846,-44.8
79.5083,16.2846,-45.7
79.525,16.2846,-46.7
79.5417,16.2846,-47.7
79.5583,16.2846,-48.5
79.575,16.2846,-49
79.5917,16.2846,-49.1
79.6083,16.2846,-48.9
79.625,16.2846,-48.5
79.6417,16.2846,-48.1
79.6583,16.2846,-47.8
79.675,16.2846,-47.8
79.6917,16.2846,-48.1
79.7083,16.2846,-48.8
79.725,16.2846,-49.8
79.7417,16.2846,-51
79.7583,16.2846,-52.3
79.775,16.2846,-53.5
79.7917,16.2846,-54.4
79.8083,16.2846,-55.1
79.825,16.2846,-55.6
79.8417,16.2846,-55.8
79.8583,16.2846,-55.8
79.875,16.2846,-55.6
79.8917,16.2846,-55.3
79.9083,16.2846,-54.7
79.925,16.2846,-53.9
79.9417,16.2846,-52.8
79.9583,16.2846,-51.4
79.975,16.2846,-49.6
79.9917,16.2846,-47.7
80.0083,16.2846,-45.6
77.2083,16.2686,-33.9
77.225,16.2686,-33.9
77.2417,16.2686,-34.2
77.2583,16.2686,-34.7
77.275,16.2686,-35.3
77.2917,16.2686,-36
77.3083,16.2686,-36.7
77.325,16.2686,-37.2
77.3417,16.2686,-37.6
77.3583,16.2686,-37.8
77.375,16.2686,-37.8
77.3917,16.2686,-37.8
77.4083,16.2686,-37.8
77.425,16.2686,-38
77.4417,16.2686,-38.3
77.4583,16.2686,-38.8
77.475,16.2686,-39.4
77.4917,16.2686,-39.8
77.5083,16.2686,-40.2
77.525,16.2686,-40.2
77.5417,16.2686,-40
77.5583,16.2686,-39.5
77.575,16.2686,-38.8
77.5917,16.2686,-38.2
77.6083,16.2686,-37.7
77.625,16.2686,-37.4
77.6417,16.2686,-37.4
77.6583,16.2686,-37.7
77.675,16.2686,-38.2
77.6917,16.2686,-38.8
77.7083,16.2686,-39.3
77.725,16.2686,-39.8
77.7417,16.2686,-40.3
77.7583,16.2686,-40.7
77.775,16.2686,-41.1
77.7917,16.2686,-41.7
77.8083,16.2686,-42.3
77.825,16.2686,-43
77.8417,16.2686,-43.7
77.8583,16.2686,-44.3
77.875,16.2686,-44.8
77.8917,16.2686,-44.8
77.9083,16.2686,-44.6
77.925,16.2686,-44
77.9417,16.2686,-43.1
77.9583,16.2686,-42
77.975,16.2686,-40.8
77.9917,16.2686,-39.6
78.0083,16.2686,-38.4
78.025,16.2686,-37.2
78.0417,16.2686,-36
78.0583,16.2686,-34.9
78.075,16.2686,-33.8
78.0917,16.2686,-32.8
78.1083,16.2686,-31.8
78.125,16.2686,-31.1
78.1417,16.2686,-30.5
78.1583,16.2686,-30.3
78.175,16.2686,-30.3
78.1917,16.2686,-30.4
78.2083,16.2686,-30.7
78.225,16.2686,-31
78.2417,16.2686,-31.2
78.2583,16.2686,-31.3
78.275,16.2686,-31.2
78.2917,16.2686,-31
78.3083,16.2686,-30.7
78.325,16.2686,-30.4
78.3417,16.2686,-30.1
78.3583,16.2686,-29.9
78.375,16.2686,-29.7
78.3917,16.2686,-29.5
78.4083,16.2686,-29.3
78.425,16.2686,-29.1
78.4417,16.2686,-28.9
78.4583,16.2686,-28.8
78.475,16.2686,-28.8
78.4917,16.2686,-28.8
78.5083,16.2686,-28.9
78.525,16.2686,-28.9
78.5417,16.2686,-28.5
78.5583,16.2686,-27.7
78.575,16.2686,-26
78.5917,16.2686,-23.5
78.6083,16.2686,-20.1
78.625,16.2686,-15.9
78.6417,16.2686,-11.1
78.6583,16.2686,-6.2
78.675,16.2686,-1.4
78.6917,16.2686,2.7
78.7083,16.2686,5.8
78.725,16.2686,7.8
78.7417,16.2686,8.6
78.7583,16.2686,8.2
78.775,16.2686,6.9
78.7917,16.2686,4.9
78.8083,16.2686,2.3
78.825,16.2686,-0.5
78.8417,16.2686,-3.5
78.8583,16.2686,-6.5
78.875,16.2686,-9.6
78.8917,16.2686,-12.8
78.9083,16.2686,-16
78.925,16.2686,-19.4
78.9417,16.2686,-22.8
78.9583,16.2686,-26.2
78.975,16.2686,-29.6
78.9917,16.2686,-32.9
79.0083,16.2686,-36.1
79.025,16.2686,-39.2
79.0417,16.2686,-42.1
79.0583,16.2686,-44.8
79.075,16.2686,-47.4
79.0917,16.2686,-49.8
79.1083,16.2686,-51.9
79.125,16.2686,-53.9
79.1417,16.2686,-55.5
79.1583,16.2686,-56.8
79.175,16.2686,-57.7
79.1917,16.2686,-58.2
79.2083,16.2686,-58.4
79.225,16.2686,-58.3
79.2417,16.2686,-57.9
79.2583,16.2686,-57.4
79.275,16.2686,-56.6
79.2917,16.2686,-55.8
79.3083,16.2686,-54.7
79.325,16.2686,-53.5
79.3417,16.2686,-52.1
79.3583,16.2686,-50.7
79.375,16.2686,-49.1
79.3917,16.2686,-47.7
79.4083,16.2686,-46.4
79.425,16.2686,-45.5
79.4417,16.2686,-44.9
79.4583,16.2686,-44.9
79.475,16.2686,-45.4
79.4917,16.2686,-46.3
79.5083,16.2686,-47.4
79.525,16.2686,-48.6
79.5417,16.2686,-49.6
79.5583,16.2686,-50.3
79.575,16.2686,-50.7
79.5917,16.2686,-50.6
79.6083,16.2686,-50.1
79.625,16.2686,-49.4
79.6417,16.2686,-48.8
79.6583,16.2686,-48.3
79.675,16.2686,-48.2
79.6917,16.2686,-48.5
79.7083,16.2686,-49.2
79.725,16.2686,-50.3
79.7417,16.2686,-51.6
79.7583,16.2686,-53
79.775,16.2686,-54.2
79.7917,16.2686,-55.1
79.8083,16.2686,-55.8
79.825,16.2686,-56.1
79.8417,16.2686,-56.2
79.8583,16.2686,-56
79.875,16.2686,-55.7
79.8917,16.2686,-55.1
79.9083,16.2686,-54.4
79.925,16.2686,-53.4
79.9417,16.2686,-52.1
79.9583,16.2686,-50.6
79.975,16.2686,-48.7
79.9917,16.2686,-46.7
80.0083,16.2686,-44.7
77.2083,16.2526,-33.7
77.225,16.2526,-33.7
77.2417,16.2526,-33.9
77.2583,16.2526,-34.2
77.275,16.2526,-34.7
77.2917,16.2526,-35.3
77.3083,16.2526,-35.7
77.325,16.2526,-36.1
77.3417,16.2526,-36.3
77.3583,16.2526,-36.4
77.375,16.2526,-36.4
77.3917,16.2526,-36.4
77.4083,16.2526,-36.5
77.425,16.2526,-36.8
77.4417,16.2526,-37.2
77.4583,16.2526,-37.8
77.475,16.2526,-38.3
77.4917,16.2526,-38.8
77.5083,16.2526,-39
77.525,16.2526,-38.9
77.5417,16.2526,-38.5
77.5583,16.2526,-37.9
77.575,16.2526,-37.2
77.5917,16.2526,-36.5
77.6083,16.2526,-36.1
77.625,16.2526,-36
77.6417,16.2526,-36.3
77.6583,16.2526,-36.8
77.675,16.2526,-37.6
77.6917,16.2526,-38.4
77.7083,16.2526,-39.2
77.725,16.2526,-39.8
77.7417,16.2526,-40.4
77.7583,16.2526,-40.9
77.775,16.2526,-41.5
77.7917,16.2526,-42.1
77.8083,16.2526,-42.8
77.825,16.2526,-43.7
77.8417,16.2526,-44.5
77.8583,16.2526,-45.2
77.875,16.2526,-45.7
77.8917,16.2526,-46
77.9083,16.2526,-45.8
77.925,16.2526,-45.4
77.9417,16.2526,-44.7
77.9583,16.2526,-43.8
77.975,16.2526,-42.8
77.9917,16.2526,-41.9
78.0083,16.2526,-40.9
78.025,16.2526,-40
78.0417,16.2526,-39
78.0583,16.2526,-38
78.075,16.2526,-36.9
78.0917,16.2526,-35.8
78.1083,16.2526,-34.8
78.125,16.2526,-33.9
78.1417,16.2526,-33.3
78.1583,16.2526,-33
78.175,16.2526,-32.9
78.1917,16.2526,-33.1
78.2083,16.2526,-33.4
78.225,16.2526,-33.6
78.2417,16.2526,-33.8
78.2583,16.2526,-33.7
78.275,16.2526,-33.5
78.2917,16.2526,-33.1
78.3083,16.2526,-32.7
78.325,16.2526,-32.3
78.3417,16.2526,-32
78.3583,16.2526,-31.9
78.375,16.2526,-31.9
78.3917,16.2526,-31.9
78.4083,16.2526,-31.9
78.425,16.2526,-31.9
78.4417,16.2526,-31.7
78.4583,16.2526,-31.4
78.475,16.2526,-30.9
78.4917,16.2526,-30.3
78.5083,16.2526,-29.6
78.525,16.2526,-28.6
78.5417,16.2526,-27.4
78.5583,16.2526,-25.6
78.575,16.2526,-23.2
78.5917,16.2526,-20.2
78.6083,16.2526,-16.5
78.625,16.2526,-12.3
78.6417,16.2526,-7.7
78.6583,16.2526,-3.2
78.675,16.2526,1
78.6917,16.2526,4.5
78.7083,16.2526,7
78.725,16.2526,8.4
78.7417,16.2526,8.7
78.7583,16.2526,8
78.775,16.2526,6.5
78.7917,16.2526,4.3
78.8083,16.2526,1.7
78.825,16.2526,-1
78.8417,16.2526,-3.9
78.8583,16.2526,-6.7
78.875,16.2526,-9.6
78.8917,16.2526,-12.6
78.9083,16.2526,-15.7
78.925,16.2526,-18.9
78.9417,16.2526,-22.2
78.9583,16.2526,-25.6
78.975,16.2526,-29.1
78.9917,16.2526,-32.6
79.0083,16.2526,-36.1
79.025,16.2526,-39.5
79.0417,16.2526,-42.8
79.0583,16.2526,-45.9
79.075,16.2526,-48.8
79.0917,16.2526,-51.4
79.1083,16.2526,-53.7
79.125,16.2526,-55.5
79.1417,16.2526,-56.8
79.1583,16.2526,-57.7
79.175,16.2526,-58.1
79.1917,16.2526,-58.1
79.2083,16.2526,-57.8
79.225,16.2526,-57.2
79.2417,16.2526,-56.5
79.2583,16.2526,-55.7
79.275,16.2526,-54.8
79.2917,16.2526,-53.9
79.3083,16.2526,-52.9
79.325,16.2526,-52
79.3417,16.2526,-50.9
79.3583,16.2526,-49.8
79.375,16.2526,-48.7
79.3917,16.2526,-47.7
79.4083,16.2526,-46.9
79.425,16.2526,-46.4
79.4417,16.2526,-46.4
79.4583,16.2526,-46.7
79.475,16.2526,-47.5
79.4917,16.2526,-48.6
79.5083,16.2526,-49.9
79.525,16.2526,-51.1
79.5417,16.2526,-52
79.5583,16.2526,-52.5
79.575,16.2526,-52.5
79.5917,16.2526,-52.1
79.6083,16.2526,-51.3
79.625,16.2526,-50.4
79.6417,16.2526,-49.5
79.6583,16.2526,-48.9
79.675,16.2526,-48.7
79.6917,16.2526,-49
79.7083,16.2526,-49.8
79.725,16.2526,-51
79.7417,16.2526,-52.4
79.7583,16.2526,-53.8
79.775,16.2526,-55
79.7917,16.2526,-55.9
79.8083,16.2526,-56.4
79.825,16.2526,-56.6
79.8417,16.2526,-56.4
