Lat,Long,Bouger_gravity
77.1083,17.1944,-35.7
77.125,17.1944,-35.3
77.1417,17.1944,-35
77.1583,17.1944,-34.7
77.175,17.1944,-34.5
77.1917,17.1944,-34.5
77.2083,17.1944,-34.6
77.225,17.1944,-34.8
77.2417,17.1944,-35
77.2583,17.1944,-35.1
77.275,17.1944,-35.2
77.2917,17.1944,-35.1
77.3083,17.1944,-34.8
77.325,17.1944,-34.4
77.3417,17.1944,-33.8
77.3583,17.1944,-33.1
77.375,17.1944,-32.2
77.3917,17.1944,-31.2
77.4083,17.1944,-30.1
77.425,17.1944,-28.9
77.4417,17.1944,-27.5
77.4583,17.1944,-26.2
77.475,17.1944,-24.9
77.4917,17.1944,-23.6
77.5083,17.1944,-22.6
77.525,17.1944,-21.8
77.5417,17.1944,-21.2
77.5583,17.1944,-20.8
77.575,17.1944,-20.6
77.5917,17.1944,-20.5
77.6083,17.1944,-20.3
77.625,17.1944,-20
77.6417,17.1944,-19.7
77.6583,17.1944,-19.2
77.675,17.1944,-18.7
77.6917,17.1944,-18.2
77.7083,17.1944,-17.8
77.725,17.1944,-17.4
77.7417,17.1944,-17
77.7583,17.1944,-16.6
77.775,17.1944,-16.1
77.7917,17.1944,-15.3
77.8083,17.1944,-14.2
77.825,17.1944,-12.7
77.8417,17.1944,-10.9
77.8583,17.1944,-9
77.875,17.1944,-6.9
77.8917,17.1944,-4.9
77.9083,17.1944,-3.1
77.925,17.1944,-1.6
77.9417,17.1944,-0.5
77.9583,17.1944,0.2
77.975,17.1944,0.6
77.9917,17.1944,0.7
78.0083,17.1944,0.5
78.025,17.1944,0.2
78.0417,17.1944,-0.1
78.0583,17.1944,-0.5
78.075,17.1944,-0.9
78.0917,17.1944,-1.3
78.1083,17.1944,-1.6
78.125,17.1944,-1.8
78.1417,17.1944,-1.9
78.1583,17.1944,-2
78.175,17.1944,-2.2
78.1917,17.1944,-2.4
78.2083,17.1944,-2.8
78.225,17.1944,-3.5
78.2417,17.1944,-4.3
78.2583,17.1944,-5.2
78.275,17.1944,-6.3
78.2917,17.1944,-7.2
78.3083,17.1944,-7.9
77.1083,17.1784,-35.2
77.125,17.1784,-34.9
77.1417,17.1784,-34.5
77.1583,17.1784,-34.3
77.175,17.1784,-34.2
77.1917,17.1784,-34.2
77.2083,17.1784,-34.4
77.225,17.1784,-34.6
77.2417,17.1784,-34.8
77.2583,17.1784,-34.9
77.275,17.1784,-35
77.2917,17.1784,-35
77.3083,17.1784,-34.8
77.325,17.1784,-34.4
77.3417,17.1784,-33.9
77.3583,17.1784,-33.2
77.375,17.1784,-32.4
77.3917,17.1784,-31.4
77.4083,17.1784,-30.1
77.425,17.1784,-28.7
77.4417,17.1784,-27.2
77.4583,17.1784,-25.6
77.475,17.1784,-23.9
77.4917,17.1784,-22.4
77.5083,17.1784,-21.1
77.525,17.1784,-20.1
77.5417,17.1784,-19.4
77.5583,17.1784,-18.9
77.575,17.1784,-18.7
77.5917,17.1784,-18.6
77.6083,17.1784,-18.5
77.625,17.1784,-18.4
77.6417,17.1784,-18.3
77.6583,17.1784,-18
