Lat,Long,Bouger anomaly
78.0083,17.0032,4.6
78.025,17.0032,3
78.0417,17.0032,1.4
78.0583,17.0032,0.1
78.075,17.0032,-0.9
78.0917,17.0032,-1.3
78.1083,17.0032,-1.4
78.125,17.0032,-1.2
78.1417,17.0032,-0.8
78.1583,17.0032,-0.4
78.175,17.0032,0
78.1917,17.0032,0.2
78.2083,17.0032,0.4
78.225,17.0032,0.4
78.2417,17.0032,0.5
78.2583,17.0032,0.5
78.275,17.0032,0.6
78.2917,17.0032,0.7
78.3083,17.0032,0.7
78.325,17.0032,0.8
78.3417,17.0032,1
78.3583,17.0032,1.2
78.375,17.0032,1.5
78.3917,17.0032,2
78.4083,17.0032,2.7
78.425,17.0032,3.4
78.4417,17.0032,4.2
78.4583,17.0032,5
78.475,17.0032,5.6
78.4917,17.0032,5.9
78.5083,17.0032,6
78.525,17.0032,5.7
78.5417,17.0032,5.2
78.5583,17.0032,4.6
78.575,17.0032,3.9
78.5917,17.0032,3.2
78.6083,17.0032,2.5
78.625,17.0032,1.7
78.6417,17.0032,0.8
78.6583,17.0032,-0.2
78.675,17.0032,-1.4
78.6917,17.0032,-2.9
78.7083,17.0032,-4.6
78.725,17.0032,-6.5
78.7417,17.0032,-8.6
78.7583,17.0032,-10.7
78.775,17.0032,-12.8
78.7917,17.0032,-15
78.8083,17.0032,-17.3
78.825,17.0032,-19.7
78.8417,17.0032,-22.1
78.8583,17.0032,-24.7
78.875,17.0032,-27.3
78.8917,17.0032,-29.8
78.9083,17.0032,-32
78.925,17.0032,-33.9
78.9417,17.0032,-35.4
78.9583,17.0032,-36.4
78.975,17.0032,-36.9
78.9917,17.0032,-37.2
79.0083,17.0032,-37.2
79.025,17.0032,-37.2
79.0417,17.0032,-37.2
79.0583,17.0032,-37.3
79.075,17.0032,-37.5
79.0917,17.0032,-37.7
79.1083,17.0032,-37.9
79.125,17.0032,-37.9
79.1417,17.0032,-37.6
79.1583,17.0032,-37.2
79.175,17.0032,-36.6
79.1917,17.0032,-36
79.2083,17.0032,-35.4
79.225,17.0032,-35
79.2417,17.0032,-34.8
79.2583,17.0032,-34.8
79.275,17.0032,-35.1
79.2917,17.0032,-35.5
79.3083,17.0032,-36
79.325,17.0032,-36.5
79.3417,17.0032,-37
79.3583,17.0032,-37.5
79.375,17.0032,-37.9
79.3917,17.0032,-38.4
79.4083,17.0032,-38.8
79.425,17.0032,-39.4
79.4417,17.0032,-39.9
79.4583,17.0032,-40.5
79.475,17.0032,-41.2
79.4917,17.0032,-41.8
79.5083,17.0032,-42.4
79.525,17.0032,-42.9
79.5417,17.0032,-43.3
79.5583,17.0032,-43.5
79.575,17.0032,-43.6
79.5917,17.0032,-43.5
79.6083,17.0032,-43.3
79.625,17.0032,-42.9
79.6417,17.0032,-42.5
79.6583,17.0032,-42.1
