Lat,Long,Elevation
77.1083,17.1944,413
77.125,17.1944,409
77.1417,17.1944,405
77.1583,17.1944,405
77.175,17.1944,411
77.1917,17.1944,417
77.2083,17.1944,421
77.225,17.1944,417
77.2417,17.1944,423
77.2583,17.1944,423
77.275,17.1944,417
77.2917,17.1944,417
77.3083,17.1944,425
77.325,17.1944,431
77.3417,17.1944,427
77.3583,17.1944,421
77.375,17.1944,421
77.3917,17.1944,427
77.4083,17.1944,429
77.425,17.1944,439
77.4417,17.1944,445
77.4583,17.1944,457
77.475,17.1944,483
77.4917,17.1944,461
77.5083,17.1944,463
77.525,17.1944,467
77.5417,17.1944,453
77.5583,17.1944,455
77.575,17.1944,463
77.5917,17.1944,467
77.6083,17.1944,469
77.625,17.1944,465
77.6417,17.1944,475
77.6583,17.1944,481
77.675,17.1944,475
77.6917,17.1944,475
77.7083,17.1944,477
77.725,17.1944,487
77.7417,17.1944,495
77.7583,17.1944,507
77.775,17.1944,519
77.7917,17.1944,533
77.8083,17.1944,553
77.825,17.1944,555
77.8417,17.1944,565
77.8583,17.1944,569
77.875,17.1944,575
77.8917,17.1944,589
77.9083,17.1944,609
77.925,17.1944,637
77.9417,17.1944,643
77.9583,17.1944,635
77.975,17.1944,627
77.9917,17.1944,625
78.0083,17.1944,631
78.025,17.1944,633
78.0417,17.1944,647
78.0583,17.1944,641
78.075,17.1944,617
78.0917,17.1944,633
78.1083,17.1944,647
78.125,17.1944,629
78.1417,17.1944,607
78.1583,17.1944,603
78.175,17.1944,613
78.1917,17.1944,615
78.2083,17.1944,609
78.225,17.1944,603
78.2417,17.1944,599
78.2583,17.1944,587
78.275,17.1944,573
78.2917,17.1944,569
78.3083,17.1944,587
77.1083,17.1784,403
77.125,17.1784,403
77.1417,17.1784,409
77.1583,17.1784,413
77.175,17.1784,411
77.1917,17.1784,417
77.2083,17.1784,425
77.225,17.1784,425
77.2417,17.1784,425
77.2583,17.1784,429
77.275,17.1784,423
77.2917,17.1784,419
77.3083,17.1784,427
77.325,17.1784,435
77.3417,17.1784,437
77.3583,17.1784,429
77.375,17.1784,425
77.3917,17.1784,435
77.4083,17.1784,433
77.425,17.1784,439
77.4417,17.1784,469
77.4583,17.1784,501
77.475,17.1784,521
77.4917,17.1784,513
77.5083,17.1784,497
77.525,17.1784,487
77.5417,17.1784,469
77.5583,17.1784,461
77.575,17.1784,475
77.5917,17.1784,493
77.6083,17.1784,481
77.625,17.1784,483
77.6417,17.1784,489
77.6583,17.1784,495
77.675,17.1784,487
77.6917,17.1784,485
77.7083,17.1784,481
77.725,17.1784,491
77.7417,17.1784,507
77.7583,17.1784,523
77.775,17.1784,525
77.7917,17.1784,535
77.8083,17.1784,549
77.825,17.1784,563
77.8417,17.1784,565
77.8583,17.1784,581
77.875,17.1784,585
77.8917,17.1784,599
77.9083,17.1784,621
77.925,17.1784,653
77.9417,17.1784,651
77.9583,17.1784,637
77.975,17.1784,641
77.9917,17.1784,651
78.0083,17.1784,643
78.025,17.1784,633
78.0417,17.1784,653
78.0583,17.1784,639
78.075,17.1784,625
78.0917,17.1784,643
78.1083,17.1784,649
78.125,17.1784,621
78.1417,17.1784,615
78.1583,17.1784,625
78.175,17.1784,633
78.1917,17.1784,641
78.2083,17.1784,627
78.225,17.1784,609
78.2417,17.1784,595
78.2583,17.1784,583
78.275,17.1784,575
78.2917,17.1784,575
78.3083,17.1784,577
77.1083,17.1625,403
77.125,17.1625,409
77.1417,17.1625,417
77.1583,17.1625,419
77.175,17.1625,417
77.1917,17.1625,415
77.2083,17.1625,425
77.225,17.1625,433
77.2417,17.1625,431
77.2583,17.1625,433
77.275,17.1625,429
77.2917,17.1625,423
77.3083,17.1625,421
77.325,17.1625,435
77.3417,17.1625,443
77.3583,17.1625,431
77.375,17.1625,427
77.3917,17.1625,451
77.4083,17.1625,437
77.425,17.1625,443
77.4417,17.1625,515
77.4583,17.1625,541
77.475,17.1625,547
77.4917,17.1625,547
77.5083,17.1625,537
77.525,17.1625,547
77.5417,17.1625,509
77.5583,17.1625,471
77.575,17.1625,493
77.5917,17.1625,519
77.6083,17.1625,517
77.625,17.1625,525
77.6417,17.1625,523
77.6583,17.1625,513
77.675,17.1625,501
77.6917,17.1625,493
77.7083,17.1625,493
77.725,17.1625,487
77.7417,17.1625,505
77.7583,17.1625,511
77.775,17.1625,521
77.7917,17.1625,527
77.8083,17.1625,551
77.825,17.1625,567
77.8417,17.1625,573
77.8583,17.1625,589
77.875,17.1625,593
77.8917,17.1625,613
77.9083,17.1625,645
77.925,17.1625,669
77.9417,17.1625,661
77.9583,17.1625,641
77.975,17.1625,653
77.9917,17.1625,665
78.0083,17.1625,651
78.025,17.1625,637
78.0417,17.1625,655
78.0583,17.1625,647
78.075,17.1625,633
78.0917,17.1625,651
78.1083,17.1625,647
78.125,17.1625,631
78.1417,17.1625,627
78.1583,17.1625,633
78.175,17.1625,645
78.1917,17.1625,635
78.2083,17.1625,621
78.225,17.1625,605
78.2417,17.1625,595
78.2583,17.1625,583
78.275,17.1625,583
78.2917,17.1625,585
78.3083,17.1625,587
77.1083,17.1466,405
77.125,17.1466,407
77.1417,17.1466,417
77.1583,17.1466,425
77.175,17.1466,429
77.1917,17.1466,423
77.2083,17.1466,423
77.225,17.1466,431
77.2417,17.1466,437
77.2583,17.1466,437
77.275,17.1466,435
77.2917,17.1466,427
77.3083,17.1466,427
77.325,17.1466,439
77.3417,17.1466,459
77.3583,17.1466,437
77.375,17.1466,433
77.3917,17.1466,439
77.4083,17.1466,445
77.425,17.1466,449
77.4417,17.1466,493
77.4583,17.1466,513
77.475,17.1466,541
77.4917,17.1466,553
77.5083,17.1466,561
77.525,17.1466,563
77.5417,17.1466,529
77.5583,17.1466,487
77.575,17.1466,493
77.5917,17.1466,511
77.6083,17.1466,541
77.625,17.1466,555
77.6417,17.1466,551
77.6583,17.1466,527
77.675,17.1466,523
77.6917,17.1466,503
77.7083,17.1466,507
77.725,17.1466,499
77.7417,17.1466,501
77.7583,17.1466,511
77.775,17.1466,531
77.7917,17.1466,545
77.8083,17.1466,551
77.825,17.1466,569
77.8417,17.1466,583
77.8583,17.1466,599
77.875,17.1466,601
77.8917,17.1466,617
77.9083,17.1466,643
77.925,17.1466,675
77.9417,17.1466,657
77.9583,17.1466,645
77.975,17.1466,661
77.9917,17.1466,673
78.0083,17.1466,655
78.025,17.1466,645
78.0417,17.1466,663
78.0583,17.1466,653
78.075,17.1466,639
78.0917,17.1466,663
78.1083,17.1466,651
78.125,17.1466,641
78.1417,17.1466,643
78.1583,17.1466,649
78.175,17.1466,647
78.1917,17.1466,625
78.2083,17.1466,609
78.225,17.1466,605
78.2417,17.1466,597
78.2583,17.1466,591
78.275,17.1466,593
78.2917,17.1466,595
78.3083,17.1466,597
77.1083,17.1307,421
77.125,17.1307,419
77.1417,17.1307,417
77.1583,17.1307,425
77.175,17.1307,435
77.1917,17.1307,437
77.2083,17.1307,433
77.225,17.1307,429
77.2417,17.1307,441
77.2583,17.1307,445
77.275,17.1307,441
77.2917,17.1307,433
77.3083,17.1307,429
77.325,17.1307,443
77.3417,17.1307,457
77.3583,17.1307,443
77.375,17.1307,437
77.3917,17.1307,457
77.4083,17.1307,491
77.425,17.1307,461
77.4417,17.1307,483
77.4583,17.1307,529
77.475,17.1307,541
77.4917,17.1307,553
77.5083,17.1307,571
77.525,17.1307,563
77.5417,17.1307,543
77.5583,17.1307,525
77.575,17.1307,513
77.5917,17.1307,517
77.6083,17.1307,533
77.625,17.1307,559
77.6417,17.1307,569
77.6583,17.1307,557
77.675,17.1307,535
77.6917,17.1307,529
77.7083,17.1307,525
77.725,17.1307,509
77.7417,17.1307,505
77.7583,17.1307,511
77.775,17.1307,529
77.7917,17.1307,539
77.8083,17.1307,553
77.825,17.1307,575
77.8417,17.1307,597
77.8583,17.1307,609
77.875,17.1307,615
77.8917,17.1307,625
77.9083,17.1307,645
77.925,17.1307,667
77.9417,17.1307,659
77.9583,17.1307,653
77.975,17.1307,667
77.9917,17.1307,683
78.0083,17.1307,663
78.025,17.1307,661
78.0417,17.1307,679
78.0583,17.1307,661
78.075,17.1307,649
78.0917,17.1307,669
78.1083,17.1307,659
78.125,17.1307,659
78.1417,17.1307,665
78.1583,17.1307,653
78.175,17.1307,635
78.1917,17.1307,623
78.2083,17.1307,621
78.225,17.1307,611
78.2417,17.1307,599
78.2583,17.1307,601
78.275,17.1307,607
78.2917,17.1307,601
78.3083,17.1307,605
77.1083,17.1147,437
77.125,17.1147,433
77.1417,17.1147,427
77.1583,17.1147,433
77.175,17.1147,441
77.1917,17.1147,447
77.2083,17.1147,439
77.225,17.1147,437
77.2417,17.1147,445
77.2583,17.1147,449
77.275,17.1147,447
77.2917,17.1147,437
77.3083,17.1147,431
77.325,17.1147,439
77.3417,17.1147,449
77.3583,17.1147,449
77.375,17.1147,443
77.3917,17.1147,449
77.4083,17.1147,475
77.425,17.1147,489
77.4417,17.1147,485
77.4583,17.1147,507
77.475,17.1147,531
77.4917,17.1147,553
77.5083,17.1147,567
77.525,17.1147,563
77.5417,17.1147,563
77.5583,17.1147,555
77.575,17.1147,535
77.5917,17.1147,547
77.6083,17.1147,555
77.625,17.1147,559
77.6417,17.1147,559
77.6583,17.1147,563
77.675,17.1147,555
77.6917,17.1147,551
77.7083,17.1147,537
77.725,17.1147,523
77.7417,17.1147,517
77.7583,17.1147,523
77.775,17.1147,525
77.7917,17.1147,537
77.8083,17.1147,555
77.825,17.1147,567
77.8417,17.1147,583
77.8583,17.1147,599
77.875,17.1147,603
77.8917,17.1147,615
77.9083,17.1147,637
77.925,17.1147,663
77.9417,17.1147,675
77.9583,17.1147,667
77.975,17.1147,675
77.9917,17.1147,687
78.0083,17.1147,675
78.025,17.1147,675
78.0417,17.1147,675
78.0583,17.1147,681
78.075,17.1147,665
78.0917,17.1147,679
78.1083,17.1147,677
78.125,17.1147,679
78.1417,17.1147,679
